DriveStart,PlayNum,SideOfField,YardLine,PenaltyType,QBLoc,PlayType,PlaySide,OffPersonnel,MenInBox,QB,BallCarrier,YardsBeforeContact,BTK,CatchSnap,ReleaseThrow,TimeReceiveBall,TimeFirstTouch,YardsGained,Misc,ThrowResult,ThrowType,DepthofTarg,Receiver,PA?,RecAlignment,Route,YardsAfterCatch,TimeToThrow,TimeBeforeContact,Notes
X,9,JCU,30,,Pistol,Run,M,12,7,5,25,0,,,,17.5,19.13,1,,,,,,,,,No Catch,0,1.63,
,10,JCU,40,,Under,Run,R,11,7,5,25,2,,,,16.5,17.6,2,,,,,,,,,No Catch,0,1.1,
,11,NEU,50,,Under,Pass Attempt,M,11,6,5,,,,7.98,11.11,,,50,,Catch,OnTarg,25,83,PA,Slot Right,Post,25,3.13,0,
,12,OPP,40,,Pistol,Run,M,12,7,5,25,1.5,,,,4.7,5.88,3,,,,,,,,,No Catch,0,1.18,
X,1,JCU,30,,Pistol,Run,M,11,6,5,1,7.5,,,,11.59,14.35,12,,,,,,,,,No Catch,0,2.76,
,2,JCU,30,,Under,Run,L,12,7,5,1,5,,,,9.79,12.47,5,,,,,,,,,No Catch,0,2.68,
,3,JCU,30,,Pistol,Run,M,12,7,5,1,0,,,,13.64,14.83,0,,,,,,,,,No Catch,0,1.19,
,4,JCU,30,,Under,Pass Attempt,L,11,6,5,,,,8.35,12.22,,,11,,Catch,OnTarg,2,1,PA,Single Back,Out ,9,3.87,0,
X,9,JCU,30,,Pistol,Run,M,12,7,5,1,9,,,,13.21,15.4,12,,,,,,,,,No Catch,0,2.19,
,11,JCU,30,,Under,Pass Attempt,M,11,6,5,,,,7.35,10.44,,,27,,Catch,UnderThrown,27,4,PA,Slot Right,Post,0,3.09,0,Wrong Read: Hit the Top Go
,12,JCU,30,,Pistol,Run,R,12,7,5,1,-1,,,,8.65,10.03,0,,,,,,,,,No Catch,0,1.38,
,10,JCU,30,,Under,Run,M,11,6,5,1,1.5,,,,8.03,9.47,2,,,,,,,,,No Catch,0,1.44,
X,1,JCU,30,,Pistol,Busted,,,,5,,,,,,,,,,,,,,,,,No Catch,0,0,
,2,JCU,30,,Under,Pass Attempt,R,11,7,5,,,,4.48,7.01,,,5,,Catch,OnTarg,1,81,PA,Tight Right,Chip n Release,4,2.53,0,
,3,JCU,30,,Pistol,Run,M,11,7,5,1,-2,,,,11.61,12.11,4,,,,,,,,,No Catch,0,0.5,
,4,JCU,30,,Under,Run,L,11,6,5,1,-0.5,,,,9.29,10.5,0,,,,,,,,,No Catch,0,1.21,
X,9,JCU,30,,Under,Run,L,11,7,5,1,2,,,,17.93,19.28,5,,,,,,,,,No Catch,0,1.35,
,10,JCU,30,,Under,Pass Attempt,R,11,6,5,,,,7.92,12.11,,,0,,Incomplete,UnderThrown,44,4,PA,Slot Right,Post-Corner,No Catch,4.19,0,Throw it sooner
,11,JCU,30,,Under,Run,M,12,7,5,1,2,,,,5.96,6.99,3,,,,,,,,,No Catch,0,1.03,
,12,JCU,30,,Pistol,Run,R,11,6,5,1,4.5,,,,3.27,5.84,7,,,,,,,,,No Catch,0,2.57,
X,1,JCU,30,,Pistol,Pass Attempt,R,11,8,5,,,,11.93,13.38,,,0,,Incomplete,TurnWorthy,0,1,No,Back Right,Flat ,No Catch,1.45,0,
X,9,JCU,30,,Under,Run,L,11,6,5,1,0,,,,8.13,9.75,0,,,,,,,,,No Catch,0,1.62,
,10,JCU,40,,Pistol,Pass Attempt,R,10,6,5,,,,9.5,10.68,,,5,,Catch,OnTarg,-5,1,No,RB Motion Rt,Swing,10,1.18,0,
,11,NEU,50,,Under,Run,R,12,7,5,1,-3,,,,12.41,13.17,-2,,,,,,,,,No Catch,0,0.76,
,12,OPP,40,,Pistol,Pass Attempt,L,11,8,5,,,,7.4,9.32,,,23,,Catch,OnTarg,22,4,No,Slot Right,Corner,1,1.92,0,
X,1,JCU,30,,Under,Run,M,12,7,5,1,0,,,,5.85,7.04,1,,,,,,,,,No Catch,0,1.19,
,2,JCU,30,,Pistol,Run,M,12,7,5,1,3,,,,11.01,12.42,10,,,,,,,,,No Catch,0,1.41,
,3,JCU,30,,Pistol,Pass Attempt,R,10,7,5,,,,9.62,11.19,,,0,,Catch,OnTarg,-5,1,No,RB Right,Swing,5,1.57,0,
,4,JCU,30,,Pistol,Sack,,11,7,5,,,,12.68,14.9,,,-5,,,,,,,,,No Catch,2.22,0,
X,9,JCU,30,,Pistol,Run,R,10,6,5,1,-1.5,,,,11.67,13.25,0,,,,,,,,,No Catch,0,1.58,
,10,JCU,30,,Pistol,Run,L,12,7,5,1,-3,,,,17.11,18.16,3,,,,,,,,,No Catch,0,1.05,
,11,JCU,30,,Under,Pass Attempt,L,12,7,5,,,,10.33,13.69,,,6,,Catch,OnTarg,4,87,PA,Tight End Rt,Leak Out,2,3.36,0,
,12,JCU,30,,Under,Pass Attempt,R,11,7,5,,,,9.22,12.14,,,0,,Incomplete,OverThrown,40,6,PA,Wide Rt,Go,No Catch,2.92,0,
X,1,JCU,30,,Pistol,Pass Attempt,L,11,6,5,,,,4.66,7.66,,,0,,Incomplete,TurnWorthy,4,6,No,Wide Rt,Drag,No Catch,3,0,
,2,JCU,35,,Pistol,Run,R,11,6,5,1,1,,,,9.52,11.6,3,,,,,,,,,No Catch,0,2.08,
