Week,Opponent,DriveStart,JCUScore,OppScore,QTR,TimeLeft,HudlPlayNum,GamePlayNum,SideOfField,YardLine,Down,YardsToGo,PenaltyType,PlayType,PlaySide,OffPersonnel,MenInBox,QB,BallCarrier,YardsBeforeContact,BTK,CatchSnap,ReleaseThrow,TimeReceiveBall,TimeFirstTouch,YardsGained,Misc,ThrowResult,ThrowType,DepthofTarg,Receiver,Convert,YardsAfterCatch,TimeToThrow,TimeBeforeContact,Notes
3,Marietta,1,0,0,1,14:52,2,1,OPP,24,1,10,,Run,R,12,8,5,33,4,1,,,9.7,12.73,5,,,,,,N,No Catch,0,3.03,
3,Marietta,0,0,0,1,14:35,3,2,OPP,19,2,5,,Run,R,11,7,5,5,6,,,,10.18,13.73,7,,,,,,Y,No Catch,0,3.55,
3,Marietta,0,0,0,1,14:05,4,3,OPP,12,1,10,,Run,M,11,7,5,33,-1,,,,10.27,11.67,0,,,,,,N,No Catch,0,1.4,
3,Marietta,0,0,0,1,13:29,5,4,OPP,12,2,10,,Pass Attempt,R,11,7,5,,,,8.91,10.36,,,12,TD,Catch,OnTarg,12,82,Y,0,1.45,0,
3,Marietta,1,7,3,1,7:44,20,5,JCU,30,1,10,,Pass Attempt,R,11,7,5,,,,11.48,12.58,,,7,,Catch,OnTarg,5,6,N,2,1.1,0,
3,Marietta,0,7,3,1,7:30,21,6,JCU,37,2,3,,Run,M,12,8,5,1,0,,,,14.21,15.27,1,,,,,,N,No Catch,0,1.06,
3,Marietta,0,7,3,1,6:50,22,7,JCU,38,3,2,,Pass Attempt,R,11,7,5,,,,13.69,16.35,,,3,,Catch,OnTarg,3,84,Y,0,2.66,0,
3,Marietta,0,7,3,1,6:07,23,8,JCU,41,1,10,,Run,R,12,7,5,1,8,,,,12.38,15.24,8,,,,,,N,No Catch,0,2.86,
3,Marietta,0,7,3,1,5:31,24,9,JCU,49,2,2,,Pass Attempt,L,11,7,5,,,,11.41,12.43,,,9,,Catch,OnTarg,9,6,Y,0,1.02,0,
3,Marietta,0,7,3,1,5:05,25,10,OPP,42,1,10,,Run,L,11,7,5,1,12,,,,0.22,4.1,12,,,,,,Y,No Catch,0,3.88,
3,Marietta,0,7,3,1,4:56,27,11,OPP,30,1,10,,Run,L,12,8,5,1,-1,,,,14.2,16.11,0,,,,,,N,No Catch,0,1.91,
3,Marietta,0,7,3,1,4:26,28,12,OPP,30,2,10,,QB Scramble,,11,8,5,,,,,,,,10,,,,,,Y,No Catch,0,0,
3,Marietta,0,7,3,1,3:50,29,13,OPP,20,1,10,,Pass Attempt,L,11,7,5,,,,7.55,8.62,,,6,,Catch,OnTarg,0,14,N,6,1.07,0,
3,Marietta,0,7,3,1,3:19,30,14,OPP,14,2,4,,Pass Attempt,R,11,7,5,,,,8.57,10.32,,,14,TD,Catch,OnTarg,14,6,Y,0,1.75,0,
3,Marietta,1,13,3,1,0:29,38,15,JCU,40,1,10,,Pass Attempt,M,11,7,5,,,,11.96,14.85,,,17,,Catch,OnTarg,15,6,Y,2,2.89,0,
3,Marietta,0,13,3,1,0:17,39,16,OPP,43,1,10,,Run,L,11,7,5,33,9,,,,4.89,8.02,10,,,,,,Y,No Catch,0,3.13,
3,Marietta,0,13,3,2,15:00,40,17,OPP,33,1,10,,Run,M,11,7,5,33,-3,,,,14.82,15.42,4,,,,,,N,No Catch,0,0.6,
3,Marietta,0,13,3,2,14:46,41,18,OPP,29,2,6,,QB Scramble,,11,7,5,,,,,,,,6,,,,,,Y,No Catch,0,0,
3,Marietta,0,13,3,2,14:15,42,19,OPP,23,1,10,,Run,L,11,7,5,33,-2,1,,,8.6,10.22,6,,,,,,N,No Catch,0,1.62,
3,Marietta,0,13,3,2,13:34,43,20,OPP,17,2,4,,Pass Attempt,R,11,7,5,,,,8.65,10.18,,,17,TD,Catch,OnTarg,17,4,Y,0,1.53,0,
3,Marietta,1,20,3,2,11:31,50,21,JCU,39,1,10,,Pass Attempt,R,11,7,5,,,,11.68,13.55,,,0,INT,Incomplete,TurnWorthy,29,14,N,No Catch,1.87,0,
3,Marietta,1,20,3,2,8:33,60,22,JCU,31,1,10,,Run,R,12,8,5,1,2,,,,9.87,11.63,2,,,,,,N,No Catch,0,1.76,
3,Marietta,0,20,3,2,8:17,61,23,JCU,33,2,8,,Run,L,12,7,5,1,1,,,,3.73,5.4,5,,,,,,N,No Catch,0,1.67,
3,Marietta,0,20,3,2,7:16,63,24,JCU,38,3,3,O-False Start,Penalty,,,,,,,,,,,,-5,,,,,,N,No Catch,0,0,
3,Marietta,0,20,3,2,7:16,64,25,JCU,33,3,8,,Sack,,11,7,5,,,,5.94,8.73,,,-6,,,,,,N,No Catch,2.79,0,
3,Marietta,0,20,3,2,6:28,66,26,JCU,42,1,10,,Run,R,11,8,5,5,28,,,,11.82,18.86,28,,,,,,Y,No Catch,0,7.04,
3,Marietta,0,20,3,2,6:19,67,27,OPP,30,1,10,,Run,L,11,7,5,33,-1,,,,12.54,14.06,-1,,,,,,N,No Catch,0,1.52,
3,Marietta,0,20,3,2,6:03,68,28,OPP,31,2,11,,Sack,,11,7,5,,,,12.25,14.56,,,-4,,,,,,N,No Catch,2.31,0,
3,Marietta,0,20,3,2,5:19,69,29,OPP,35,3,15,,Run,M,11,6,5,5,-3,,,,11.9,13.09,-3,,,,,,N,No Catch,0,1.19,
3,Marietta,1,20,3,2,1:58,75,30,OPP,48,1,10,,Pass Attempt,M,11,6,5,,,,12.43,14.09,,,5,,Catch,OnTarg,5,82,N,0,1.66,0,
3,Marietta,0,20,3,2,1:43,76,31,OPP,43,2,5,,Run,M,11,6,5,1,11,,,,6.42,9.44,15,,,,,,Y,No Catch,0,3.02,
3,Marietta,0,20,3,2,1:21,77,32,OPP,28,1,10,,Run,M,11,6,5,1,3,,,,6.77,8.1,4,,,,,,N,No Catch,0,1.33,
3,Marietta,0,20,3,2,0:54,78,33,OPP,24,2,6,,Pass Attempt,M,11,6,5,,,,8.71,9.7,,,7,,Catch,OnTarg,7,14,Y,0,0.99,0,
3,Marietta,0,20,3,2,0:30,79,34,OPP,17,1,10,,Run,L,11,7,5,5,-2,,,,4.39,7.39,-2,,,,,,N,No Catch,0,3,
3,Marietta,0,20,3,2,0:24,80,35,OPP,19,2,12,,Pass Attempt,R,11,6,5,,,,11.11,18.36,,,9,,Catch,OnTarg,5,4,N,4,7.25,0,
